intro,name,points,rank
沉醉在电影的情感和视听氛围中无法自拔。,请以你的名字呼唤我,8.8,158
,,,
华太师是黄霑，吴镇宇四大才子之一。,唐伯虎点秋香,8.4,159
,,,
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,时空恋旅人,8.6,160
,,,
骨灰级歌舞片。,雨中曲,9,161
,,,
Balalala~~~,超能陆战队,8.6,162
,,,
诺兰就是保证。,蝙蝠侠：黑暗骑士崛起,8.6,163
,,,
爱并不需要智商 。,我是山姆,8.8,164
,,,
有一些东西不应该被遗忘。,二十二,8.7,165
,,,
对爱的执着，可以超越一切。,人工智能,8.6,166
,,,
松鼠才是角儿。,冰川时代,8.4,167
,,,
世界离独裁只有五天。,浪潮,8.7,168
,,,
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,朗读者,8.5,169
,,,
一个单凭体香达到高潮的男人。,香水,8.4,170
,,,
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,爆裂鼓手,8.6,171
,,,
人生的N种可能性。,罗生门,8.7,172
,,,
好的剧本是，就算你猜到了结局也猜不到全部。,未麻的部屋,8.8,173
,,,
Jared Leto的腿比女人还美！,达拉斯买家俱乐部,8.7,174
,,,
只有有信仰的人才能说出事实真相。,一次别离,8.7,175
,,,
诺兰的牛逼来源于内心散发出的恐惧。,追随,8.9,176
,,,
王家卫是一种风格，张国荣是一个代表。,阿飞正传,8.5,177
,,,
坚硬的信仰。,可可西里,8.7,178
,,,
天使与魔鬼的冲撞。,撞车,8.6,179
,,,
不要企图在重复中寻找已经失去的爱。,恐怖游轮,8.3,180
,,,
做一颗让别人需要你的棋子。,战争之王,8.6,181
,,,
热血沸腾，那个低俗、性感的无耻混蛋又来了。,被解救的姜戈,8.6,182
,,,
天使保护事件始末。,地球上的星星,8.8,183
,,,
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,血战钢锯岭,8.7,184
,,,
一场没有春天的噩梦。,梦之安魂曲,8.7,185
,,,
弱者送给弱者的一刀。,牯岭街少年杀人事件,8.7,186
,,,
